Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Vegetable Fried Rice,Vegetable Cutlets,Vegetable Fried Rice with Vegetable Cutlets,"Rice, carrot, leeks, onion,  Spices, curry leaves, Carrot,  Potatoes,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009,  SLB006,  SLK002"
Vegetable Fried Rice,Tapioca Chips,Vegetable Fried Rice with Tapioca Chips,"Rice, carrot, leeks, onion,  Spices, curry leaves, Tapioca,  Oil,  Salt,  chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 20.0, 10.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLB011,  SLJ002,  SLK002"
Vegetable Fried Rice,potatoe cheese Balls,Vegetable Fried Rice with potatoe cheese Balls,"Rice, carrot, leeks, onion,  Spices, curry leaves, cheese,  Potatoes,  pepper","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 60.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLG002,  SLB006,  SLK018"
Vegetable Fried Rice,Vegetable Balls,Vegetable Fried Rice with Vegetable Balls,"Rice, carrot, leeks, onion,  Spices, curry leaves, Carrot,  leeks,  Jackfruit","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009,  SLD055,  SLD049,  SLB006,  SLK018"
Vegetable Fried Rice,Ginger Chicken,Vegetable Fried Rice with Ginger Chicken,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK012, SLK002"
Chicken Fried Rice,Chicken Curry,Chicken Fried Rice with Chicken Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Coconut milk","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 40.0, 10.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLI005"
Chicken Fried Rice,Wambatu Moju,Chicken Fried Rice with Wambatu Moju,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, onion","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 20.0, 0.5, 5.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLD019, SLI017, , SLD082"
Chicken Fried Rice,Chicken Curry,Chicken Fried Rice with Chicken Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Coconut milk","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 40.0, 10.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLI005"
Chicken Fried Rice,Devilled Chicken,Chicken Fried Rice with Devilled Chicken,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Chili,  Curry leaves","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 5.0, 10.0, 20.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLK002"
Chicken Fried Rice,Devilled Fish,Chicken Fried Rice with Devilled Fish,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili,  Curry leaves","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 5.0, 5.0, 20.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLF006, SLK002"
