Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Red Rice,"Bean Curry, Seeni Sambol, Kiri Hodi, Devilled Beef","Red Rice with Bean Curry, Seeni Sambol, Kiri Hodi, Devilled Beef","Red rice, Beans,  Coconut milk,  Spices, Onion,  Sugar,  chillii, Coconut milk, Beef,  Oil,  chillies","160.0, 120.0, 160.0, 120.0, 150.0, 15.0, 15.0, 120.0, 80.0, 30.0, 5.0","SLA009, SLD006, SLI005, SLK006, SLD060, SLI011, SLK002, SLH016, SLJ002"
Red Rice,"Bean Curry, Ash Plantain Curry, Spicy Crab, Polos Ambula","Red Rice with Bean Curry, Ash Plantain Curry, Spicy Crab, Polos Ambula","Red rice, Beans,  Coconut milk,  Spices, Ash plantain,  Chillies, Crab,  Oil,  chillies, Jackfruit,  coconut milk,  curry leaves","160.0, 120.0, 235.0, 120.0, 150.0, 30.0, 140.0, 40.0, 30.0, 80.0, 30.0, 10.0","SLA009, SLD006, SLI005, SLK006, SLD005, SLK004, SLF045, SLJ002, SLK002, SLD049, SLK009"
Red Rice,"Pol Sambol, Pineapple Curry, Fish Patties, Capsicum Curry, Cauliflower Pickle","Red Rice with Pol Sambol, Pineapple Curry, Fish Patties, Capsicum Curry, Cauliflower Pickle","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Pineapple,  Coconut milk,  Spices, Fish,  Flour,  Oil, Capsicum,  Chillies, Cauliflower,  Garlic","200.0, 250.0, 25.0, 50.0, 15.0, 15.0, 200.0, 150.0, 40.0, 120.0, 90.0, 140.0, 100.0, 20.0, 100.0, 20.0","SLA009, SLI005, SLK002, SLD060, SLE028, SLK011, SLE041, SLK006, SLF036,  SLF034,  SLJ002, SLF045,  SLI005, SLD031, SLJ002"
Red Rice,"Chickpea Curry, Kohila Curry, Okra Curry, Sesame Seed Sambol, Kappa Masala","Red Rice with Chickpea Curry, Kohila Curry, Okra Curry, Sesame Seed Sambol, Kappa Masala","Red rice, Chickpea,  Coconut milk,  Chillies, Kohila, Okra, Sesame seed,  Chili,  Onion, Cassava,  Coconut","200.0, 250.0, 300.0, 120.0, 200.0, 150.0, 100.0, 50.0, 20.0, 60.0, 25.0","SLA009, SLI013, SLI005, SLK004, SLB004,  SLI005, SLK002, SLD053, SLI023,  SLD060, SLI014"
Red Rice,"Soya Meat Curry, Bottle Gourd Curry, Cucumber Sambol, Mint Sambol, Dhal Vade","Red Rice with Soya Meat Curry, Bottle Gourd Curry, Cucumber Sambol, Mint Sambol, Dhal Vade","Red rice, Soya meat,  Coconut milk,  Chillies, Bottle gourd, Cucumber,  Coconut,  pepper, Mint, Lentils,  chillie,  Oil","200.0, 250.0, 225.0, 90.0, 200.0, 180.0, 150.0, 25.0, 120.0, 50.0, 15.0, 30.0","SLA009, SLK008, SLI005, SLK004, SLD015, SLK002, SLD038,  SLK018, SLI020,  SLI005, SLK018, SLC009, SLJ002"
Red Rice,"Chicken Curry, Pol Sambol, Chicken Curry, Cashew Curry, Lotus Root Curry","Red Rice with Chicken Curry, Pol Sambol, Chicken Curry, Cashew Curry, Lotus Root Curry","Red rice, Chicken,  Coconut milk,  Spices, Coconut,  Chili,  Onion, Lime, Garlic, Cashew,  Chillies, Lotus root","200.0, 320.0, 155.0, 40.0, 200.0, 20.0, 40.0, 12.0, 12.0, 100.0, 30.0, 50.0","SLA009, SLH006, SLI005, SLK006, SLK002, SLD060, SLE028, SLK011, SLI004,  SLI005, SLB005"
Red Rice,"Banana Blossom Curry, Cabbage Mallung, Ala Badun, Soya Meat Curry, Garlic curry","Red Rice with Banana Blossom Curry, Cabbage Mallung, Ala Badun, Soya Meat Curry, Garlic curry","Red rice, Banana blossom,  Coconut milk,  Spices, Cabbage,  Coconut, Potato,  Oil, onion, chilli, Soya meat,  Chillies, Garlic,  chillies,  curry leaves ","200.0, 100.0, 120.0, 45.0, 80.0, 40.0, 120.0, 30.0, 90.0, 15.0, 100.0, 20.0, 50.0, 10.0, 5.0","SLA009, SLD065, SLI005, SLK006, SLD021, SLB006, SLJ002, SLD060, SLK008, SLK004, SLK011, SLK002, SLK009"
Red Rice,"Ash Plantain Curry, Bitter Leaf Curry, Mustard Greens Curry, Coriander Sambol, Fish Curry","Red Rice with Ash Plantain Curry, Bitter Leaf Curry, Mustard Greens Curry, Coriander Sambol, Fish Curry","Red rice, Ash plantain,  Coconut milk,  Chillies, Bitter leaves, Mustard greens, Coriander,  Coconut,  pepper, Fish,  Spices, curry leaves","200.0, 250.0, 320.0, 120.0, 200.0, 150.0, 120.0, 60.0, 10.0, 50.0, 3.0, 2.0","SLA009, SLD005, SLI005, SLK004, SLD013, SLK002, SLI025,  SLI005,  SLK002, SLK006, SLK018, SLF013, SLK009"
Red Rice,"Bathala Curry, Mango Curry, Radish Sambol, Simmered Fish Roe, Ginger Chicken","Red Rice with Bathala Curry, Mango Curry, Radish Sambol, Simmered Fish Roe, Ginger Chicken","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Mango, Radish,  Coconut,  pepper, Fish,  Oil,  flour,  egg, Chicken,  Ginger,  Chillies","200.0, 250.0, 200.0, 65.0, 15.0, 200.0, 180.0, 90.0, 15.0, 140.0, 60.0, 40.0, 20.0, 50.0, 25.0, 10.0","SLA009, SLB010, SLI005, SLK006, SLK009, SLE030, SLB007, SLK018, SLF054, SLA018, SLH001, SLH006, SLK012, SLK002"
Red Rice,"Pineapple Curry, Ala Badun, Cashew Curry, Fish Patties, Murukku","Red Rice with Pineapple Curry, Ala Badun, Cashew Curry, Fish Patties, Murukku","Red rice, Pineapple,  Coconut milk,  Spices, Potato,  Oil, onion, chilli, Cashew,  Chillies, Fish,  Flour, flour","200.0, 250.0, 200.0, 50.0, 160.0, 100.0, 120.0, 20.0, 150.0, 50.0, 80.0, 60.0, 50.0","SLA009, SLE041, SLI005, SLK006, SLB006, SLJ002, SLD060, SLI004,  SLI005, SLK002, SLF036,  SLF034,  SLJ002, SLA08,  SLK002"
Red Rice,"Carrot Curry, Brinjal Moju, Mango Curry, Fenugreek Curry, Carrot curry","Red Rice with Carrot Curry, Brinjal Moju, Mango Curry, Fenugreek Curry, Carrot curry","Red rice, Carrot,  Coconut milk,  Spices, Eggplant,  Vinegar, Mango, Fenugreek,  Chillies,  chillies, curry leaves","200.0, 300.0, 245.0, 175.0, 120.0, 160.0, 150.0, 100.0, 20.0, 10.0, 5.0","SLA009, SLB002, SLI005, SLK006, SLD019,  SLI017,  SLK006, SLE030, SLK010,  SLI005, SLK002, SLK009"
Red Rice,"Parippu, Kohila Curry, Vegetable Cutlets, Ulundu Wade, Gotu Kola Sambol","Red Rice with Parippu, Kohila Curry, Vegetable Cutlets, Ulundu Wade, Gotu Kola Sambol","Red rice, Dhal,  Coconut milk, Termeric powder, Kohila,  Chillies, Carrot,  Potatoes, Urad,  flour,  Oil, Gotu Kola,  Coconut,  Onion","200.0, 50.0, 150.0, 25.0, 200.0, 70.0, 90.0, 120.0, 60.0, 80.0, 40.0, 10.0, 15.0, 15.0","SLA009, SLC009, SLI005, SLK019, SLB004,  SLI005, SLK002, SLB002,  SLB006,  SLK002, SLI020,  SLA08,  SLJ002, SLD048, SLD060"
Red Rice,"Potato Curry, Spinach Curry, Okra Curry, Sprats Fry, Indian Fish Curry","Red Rice with Potato Curry, Spinach Curry, Okra Curry, Sprats Fry, Indian Fish Curry","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Spinach, Okra,  Chillies, Dried fish,  Oil, Fish,  chillies","200.0, 100.0, 415.0, 170.0, 25.0, 10.0, 120.0, 150.0, 50.0, 80.0, 40.0, 60.0, 10.0","SLA009, SLB006, SLI005, SLK006, SLK009, SKL019, SLI022,  SLI005, SLD053, SLK002, SLF019, SLJ002, SLF034"
Red Rice,"Snake Gourd Curry, Murukku, Kochchi Sambol, Simmered Fish Roe, Polos Ambula","Red Rice with Snake Gourd Curry, Murukku, Kochchi Sambol, Simmered Fish Roe, Polos Ambula","Red rice, Snake gourd,  Coconut milk,  Spices, flour,  Chillies, Green chili,  Coconut, Fish,  Oil,  flour,  egg, Jackfruit,  coconut milk,  chillies,  curry leaves","200.0, 250.0, 125.0, 50.0, 200.0, 80.0, 30.0, 90.0, 140.0, 60.0, 40.0, 20.0, 80.0, 30.0, 10.0, 10.0","SLA009, SLD077, SLI005, SLK006, SLA08,  SLK002, SLK002, SLF054, SLA018, SLH001, SLD049, SLK009"
Red Rice,"Devilled Fish, Soya Meat Curry, Pumpkin Leaves Curry, potatoe cheese Balls, Polos Ambula","Red Rice with Devilled Fish, Soya Meat Curry, Pumpkin Leaves Curry, potatoe cheese Balls, Polos Ambula","Red rice, Fish,  Chili,  Curry leaves, Onion, Soya meat,  Coconut milk,  Chillies, Pumpkin leaves, cheese,  Potatoes,  pepper, Jackfruit,  coconut milk,  chillies,  curry leaves","200.0, 250.0, 25.0, 25.0, 100.0, 200.0, 175.0, 70.0, 150.0, 60.0, 120.0, 20.0, 80.0, 30.0, 10.0, 10.0","SLA009, SLF006, SLK002, SLK009, SLD060, SLK008, SLI005, SLK004, SLI026,  SLI005, SLG002,  SLB006,  SLK018, SLD049"
Red Rice,"Mango Curry, Ala Badun, Lotus Root Curry, Mustard Greens Curry, Coconut Sambol","Red Rice with Mango Curry, Ala Badun, Lotus Root Curry, Mustard Greens Curry, Coconut Sambol","Red rice, Mango,  Coconut milk,  Spices, Potato,  Oil, onion, chilli, Lotus root,  Chillies, Mustard greens, Coconut,  Chili,  Onion","200.0, 250.0, 250.0, 50.0, 160.0, 40.0, 120.0, 20.0, 150.0, 50.0, 100.0, 50.0, 15.0, 20.0","SLA009, SLE030, SLI005, SLK006, SLB006, SLJ002, SLD060, SLB005,  SLI005, SLK002, SLI025,  SLK002"
Red Rice,"Bottle Gourd Curry, Prawn Curry, Mint Sambol, Kochchi Sambol, Polos Mallum","Red Rice with Bottle Gourd Curry, Prawn Curry, Mint Sambol, Kochchi Sambol, Polos Mallum","Red rice, Bottle gourd,  Coconut milk,  Chillies, Prawn, Mint,  Coconut,  pepper, Green chili, Jackfruit,  oil","200.0, 250.0, 225.0, 90.0, 200.0, 180.0, 180.0, 15.0, 20.0, 50.0, 5.0","SLA009, SLD015, SLI005, SLK002, SLF043,  SLI005, SLI020, SLK018, SLE024, SLJ002"
Red Rice,"Sesame Seed Sambol, Murukku, Seeni Sambol, Dhal Vade, Jaffna Crab Curry","Red Rice with Sesame Seed Sambol, Murukku, Seeni Sambol, Dhal Vade, Jaffna Crab Curry","Red rice, Sesame seed,  Chili,  Onion, flour,  Chillies, Onion,  Sugar,  chillii, Lentils,  chillie,  Oil, Crab,  Coconut milk","200.0, 250.0, 125.0, 50.0, 200.0, 90.0, 150.0, 15.0, 15.0, 100.0, 30.0, 60.0, 50.0, 25.0","SLA009, SLI023, SLK002,  SLD060, SLA08,  SLK002, SLD060, SLI011, SLC009, SLJ002, SLF045,  SLI005"
Red Rice,"Banana Blossom Curry, Kohila Curry, Vegetable Cutlets, Gotu Kola Sambol, Shrimp Cutlets","Red Rice with Banana Blossom Curry, Kohila Curry, Vegetable Cutlets, Gotu Kola Sambol, Shrimp Cutlets","Red rice, Banana blossom,  Coconut milk,  Spices, Kohila,  Chillies, Carrot,  Potatoes, Gotu Kola,  Coconut,  Onion, Shrimp,  flour","200.0, 100.0, 150.0, 25.0, 200.0, 70.0, 90.0, 170.0, 20.0, 30.0, 30.0, 30.0, 20.0","SLA009, SLD065, SLI005, SLK006, SLB004,  SLI005, SLK002, SLB002,  SLB006,  SLK002, SLD048, SLD060, SLI015, SLB006, SLA018"
Red Rice,"Eggplant Curry, Potato Curry, Egg Curry, Garlic curry, Indian Fish Curry","Red Rice with Eggplant Curry, Potato Curry, Egg Curry, Garlic curry, Indian Fish Curry","Red rice, Eggplant,  Spices,  Coconut milk, Potato, curry leaves, Turmeric Powder, Egg,  Chillies, Garlic,  chillies,  curry leaves , Fish","200.0, 150.0, 50.0, 315.0, 80.0, 20.0, 8.0, 150.0, 30.0, 100.0, 30.0, 10.0, 60.0","SLA009, SLD019, SLK006, SLI005, , SLB006, SLK009, SKL019, SLH001,  SLI005, SLK002, SLK011, SLF034"
Red Rice,"Dhal Curry, Pineapple Curry, Spinach Curry, Leeks Curry, Fenugreek Curry","Red Rice with Dhal Curry, Pineapple Curry, Spinach Curry, Leeks Curry, Fenugreek Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Pineapple, Spinach, Leeks,  Chillies, Fenugreek","200.0, 400.0, 345.0, 155.0, 25.0, 200.0, 90.0, 100.0, 30.0, 50.0","SLA009, SLC009, SLI005, SLK006, SLK019, SLE041, SLI022,  SLI005, SLD055, SLK002, SLK010"
Red Rice,"Eggplant Curry, Potato Curry, Capsicum Curry, Seeni Sambol, Beetroot curry","Red Rice with Eggplant Curry, Potato Curry, Capsicum Curry, Seeni Sambol, Beetroot curry","Red rice, Eggplant,  Spices,  Coconut milk, Potato, curry leaves, Turmeric Powder, Capsicum,  Chillies, Onion,  Sugar,  chillii, Beetroot,  chillies","200.0, 150.0, 50.0, 275.0, 80.0, 30.0, 8.0, 150.0, 30.0, 100.0, 10.0, 10.0, 70.0, 10.0","SLA009, SLD019, SLK006, SLI005, , SLB006, SLK009, SKL019, SLF045,  SLI005, SLK002, SLD060, SLI011, SLB001"
Red Rice,"Carrot Curry, Leeks Curry, Murukku, Coriander Sambol, Pumpkin curry","Red Rice with Carrot Curry, Leeks Curry, Murukku, Coriander Sambol, Pumpkin curry","Red rice, Carrot,  Coconut milk,  Spices, Leeks,  Chillies, flour, Coriander,  Coconut,  pepper, Pumpkin,  chillies, curry leaves","200.0, 250.0, 220.0, 25.0, 200.0, 100.0, 150.0, 120.0, 60.0, 10.0, 60.0, 10.0, 5.0","SLA009, SLB002, SLI005, SLK006, SLD055,  SLI005, SLK002, SLA08,  SLK002, SLK018, SLD071, SLK009"
Red Rice,"Cabbage Mallung, Bean Curry, Pumpkin Leaves Curry, Carrot curry, Indian Fish Curry","Red Rice with Cabbage Mallung, Bean Curry, Pumpkin Leaves Curry, Carrot curry, Indian Fish Curry","Red rice, Cabbage,  Coconut,  Spices, Beans,  Coconut milk, Pumpkin leaves,  Chillies, Carrot,  chillies, curry leaves, Fish","200.0, 100.0, 50.0, 145.0, 120.0, 305.0, 150.0, 30.0, 100.0, 30.0, 10.0, 60.0","SLA009, SLD021, SLI005, SLK006, SLD006, SLI026,  SLI005, SLK002, SLB002, SLK009, SLF034"
Red Rice,"Fish Curry, Green Pea Curry, Carrot Sambol, Shrimp Cutlets, Chickpea Salad","Red Rice with Fish Curry, Green Pea Curry, Carrot Sambol, Shrimp Cutlets, Chickpea Salad","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Green pea,  Chillies, Carrot,  Coconut,  pepper, Shrimp,  Potatoes,  flour, Chickpeas,  Carrot,  Cabbage","200.0, 250.0, 200.0, 15.0, 10.0, 200.0, 40.0, 150.0, 30.0, 15.0, 60.0, 100.0, 40.0, 60.0, 30.0, 30.0","SLA009, SLF013, SLI005, SLK006, SLK009, SLC007,  SLI005, SLK002, SLB002,  SLK018, SLI015, SLB006, SLA018, SLI013, SLD021"
Red Rice,"Drumstick Curry, Jaffna Crab Curry, Pineapple Pickle, Pumpkin curry, Seeni Sambol","Red Rice with Drumstick Curry, Jaffna Crab Curry, Pineapple Pickle, Pumpkin curry, Seeni Sambol","Red rice, Drumstick,  Coconut milk,  Spices, Crab,  Chillies, Pineapple,  pepper,  salt, Pumpkin,  chillies, curry leaves, Onion,  Sugar,  chillii","200.0, 250.0, 240.0, 25.0, 200.0, 40.0, 150.0, 30.0, 15.0, 120.0, 20.0, 10.0, 50.0, 5.0, 5.0","SLA009, SLD041, SLI005, SLK006, SLF045,  SLI005, SLK002, SLE041,  SLK018, SLD071, SLK009, SLD060, SLI011"
Red Rice,"Cabbage Mallung, Bitter Leaf Curry, Carrot Sambol, Kochchi Sambol, Ginger Chicken","Red Rice with Cabbage Mallung, Bitter Leaf Curry, Carrot Sambol, Kochchi Sambol, Ginger Chicken","Red rice, Cabbage,  Coconut,  Spices, Bitter leaves,  Coconut milk,  Chillies, Carrot,  pepper, Green chili, Chicken,  Ginger","200.0, 100.0, 140.0, 25.0, 200.0, 100.0, 50.0, 150.0, 15.0, 20.0, 50.0, 25.0","SLA009, SLD021, SLI005, SLK006, SLD013, SLK002, SLB002,  SLI005,  SLK018, SLH006, SLK012"
Red Rice,"Eggplant Curry, Cabbage Mallung, Bitter Gourd Curry, Sinhala Achcharu, Polos Ambula","Red Rice with Eggplant Curry, Cabbage Mallung, Bitter Gourd Curry, Sinhala Achcharu, Polos Ambula","Red rice, Eggplant,  Spices,  Coconut milk, Cabbage,  Coconut, Bitter gourd, Carrot,  onion,  green chillies,  Vinegar, Jackfruit,  coconut milk,  chillies,  curry leaves","200.0, 150.0, 60.0, 125.0, 80.0, 40.0, 150.0, 60.0, 70.0, 30.0, 20.0, 80.0, 30.0, 10.0, 10.0","SLA009, SLD019, SLK006, SLI005, , SLD021, SLD013, SLB002, SLD060, SLK002, SLI017, SLD049, SLK009"
Red Rice,"Bathala Curry, Bitter Leaf Curry, Fenugreek Curry, Cucumber Sambol, Kiri Hodi","Red Rice with Bathala Curry, Bitter Leaf Curry, Fenugreek Curry, Cucumber Sambol, Kiri Hodi","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Bitter leaves,  Chillies, Fenugreek, Cucumber,  Coconut,  pepper, Coconut milk","200.0, 250.0, 275.0, 25.0, 15.0, 200.0, 70.0, 150.0, 120.0, 60.0, 10.0, 60.0","SLA009, SLB010, SLI005, SLK006, SLK009, SLD013, SLK002, SLK010,  SLI005, SLD038,  SLK018"
Red Rice,"Pol Sambol, Devilled Chicken, Murunga Curry, Sweet Corn Curry, Pineapple Pickle","Red Rice with Pol Sambol, Devilled Chicken, Murunga Curry, Sweet Corn Curry, Pineapple Pickle","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Chicken,  Curry leaves, Onion, Drumstick,  Coconut milk,  Spices, Sweet corn,  Chillies, Pineapple,  pepper,  salt","200.0, 250.0, 45.0, 50.0, 15.0, 15.0, 200.0, 40.0, 80.0, 150.0, 125.0, 30.0, 100.0, 20.0, 50.0, 10.0, 5.0","SLA009, SLI005, SLK002, SLD060, SLE028, SLK011, SLH006, SLK009, SLD041, SLI006, SLK006, SLD037,  SLI005 , SLE041,  SLK018"
Red Rice,"Bean Curry, Brinjal Moju, Okra Curry, Capsicum Curry, Batu Moju","Red Rice with Bean Curry, Brinjal Moju, Okra Curry, Capsicum Curry, Batu Moju","Red rice, Beans,  Coconut milk,  Spices, Eggplant,  Vinegar, Okra,  Chillies, Capsicum,  garlic","200.0, 150.0, 325.0, 270.0, 190.0, 160.0, 150.0, 50.0, 100.0, 15.0","SLA009, SLD006, SLI005, SLK006, SLD019,  SLI017,  SLK006, SLD053,  SLI005, SLK002, SLF045, SLK011"
Red Rice,"Cabbage Mallung, Carrot Curry, Fish Cutlets, Dhal Vade, Batu Moju","Red Rice with Cabbage Mallung, Carrot Curry, Fish Cutlets, Dhal Vade, Batu Moju","Red rice, Cabbage,  Coconut,  Spices, Carrot,  Coconut milk, Fish,  Potatoes,  Chillies, Lentils,  chillie,  Oil, Eggplant,  garlic","200.0, 100.0, 50.0, 45.0, 200.0, 80.0, 90.0, 150.0, 30.0, 100.0, 30.0, 60.0, 70.0, 15.0","SLA009, SLD021, SLI005, SLK006, SLB002, SLF034,  SLB006,  SLK002, SLC009, SLK002, SLJ002, SLD019, SLK011"
Red Rice,"Fish Ambul Thiyal, Chicken Curry, Green Gram Curry, Ulundu Wade, Cauliflower Pickle","Red Rice with Fish Ambul Thiyal, Chicken Curry, Green Gram Curry, Ulundu Wade, Cauliflower Pickle","Red rice, Fish,  Goraka,  Spices, Chicken,  Coconut milk, Green gram, Urad,  flour,  Oil, Cauliflower,  Garlic","200.0, 400.0, 50.0, 100.0, 160.0, 115.0, 150.0, 60.0, 80.0, 90.0, 100.0, 20.0","SLA009, SLF006, SLK005, SLK006, SLH006, SLI005, SLC006, SLI020,  SLA08,  SLJ002, SLD031, SLJ002, SLK011"
Red Rice,"Chicken Curry, Okra Curry, Dry Fish Curry, Indian Fish Curry, Jackfruit Mallum","Red Rice with Chicken Curry, Okra Curry, Dry Fish Curry, Indian Fish Curry, Jackfruit Mallum","Red rice, Chicken,  Coconut milk,  Spices, Okra,  Chillies, Dry fish, Fish,  chillies, Jackfruit,  Coconut","200.0, 200.0, 285.0, 25.0, 200.0, 70.0, 150.0, 120.0, 20.0, 60.0, 30.0","SLA009, SLH006, SLI005, SLK006, SLD053,  SLI005, SLK002, SLF020,  SLK002, SLF034, SLD049"
Red Rice,"Banana Blossom Curry, Fish Patties, Kochchi Sambol, Jaffna Crab Curry, Sprats Fry","Red Rice with Banana Blossom Curry, Fish Patties, Kochchi Sambol, Jaffna Crab Curry, Sprats Fry","Red rice, Banana blossom,  Coconut milk,  Spices, Fish,  Flour,  Oil, Green chili,  Coconut, Crab,  Chillies, Dried fish","200.0, 100.0, 100.0, 25.0, 160.0, 120.0, 140.0, 30.0, 90.0, 100.0, 30.0, 40.0","SLA009, SLD065, SLI005, SLK006, SLF036,  SLF034,  SLJ002, SLK002, SLF045,  SLI005, SLF019, SLJ002"
Red Rice,"Chicken Curry, Bathala Curry, Fish Cutlets, Dhal Vade, Shrimp Cutlets","Red Rice with Chicken Curry, Bathala Curry, Fish Cutlets, Dhal Vade, Shrimp Cutlets","Red rice, Chicken,  Coconut milk,  Spices, Sweet potato, curry leaves, Fish,  Potatoes,  Chillies, Lentils,  chillie,  Oil, Shrimp,  flour","200.0, 200.0, 130.0, 45.0, 200.0, 12.0, 90.0, 200.0, 30.0, 100.0, 30.0, 60.0, 30.0, 20.0","SLA009, SLH006, SLI005, SLK006, SLB010, SLK009, SLF034,  SLB006,  SLK002, SLC009, SLK002, SLJ002, SLI015, SLB006, SLA018"
Red Rice,"Banana Blossom Curry, Fenugreek Curry, Ulundu Wade, Murukku, Kochchi Sambol","Red Rice with Banana Blossom Curry, Fenugreek Curry, Ulundu Wade, Murukku, Kochchi Sambol","Red rice, Banana blossom,  Coconut milk,  Spices, Fenugreek,  Chillies, Urad,  flour,  Oil, flour, Green chili,  Coconut","200.0, 100.0, 150.0, 25.0, 200.0, 80.0, 90.0, 120.0, 60.0, 100.0, 10.0, 30.0","SLA009, SLD065, SLI005, SLK006, SLK010,  SLI005, SLK002, SLI020,  SLA08,  SLJ002, SLA08,  SLK002"
Red Rice,"Dhal Curry, Potato Curry, Leeks Curry, Murukku, Indian Fish Curry","Red Rice with Dhal Curry, Potato Curry, Leeks Curry, Murukku, Indian Fish Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Potato, curry leaves, Turmeric Powder, Leeks,  Chillies, flour, Fish,  chillies","200.0, 400.0, 275.0, 65.0, 25.0, 80.0, 20.0, 8.0, 150.0, 70.0, 100.0, 60.0, 10.0","SLA009, SLC009, SLI005, SLK006, SLK019, SLB006, SLK009, SKL019, SLD055,  SLI005, SLK002, SLA08,  SLK002, SLF034"
Red Rice,"Drumstick Curry, Pineapple Curry, Bottle Gourd Curry, Sesame Seed Sambol, Tapioca Chips","Red Rice with Drumstick Curry, Pineapple Curry, Bottle Gourd Curry, Sesame Seed Sambol, Tapioca Chips","Red rice, Drumstick,  Coconut milk,  Spices, Pineapple, Bottle gourd,  Chillies, Sesame seed,  Chili,  Onion, Tapioca,  Oil,  Salt,  chillies","200.0, 250.0, 275.0, 65.0, 200.0, 150.0, 30.0, 100.0, 50.0, 20.0, 50.0, 20.0, 10.0, 10.0","SLA009, SLD041, SLI005, SLK006, SLE041, SLD015, SLK002, SLI023,  SLD060, SLB011,  SLJ002,  SLK002"
Red Rice,"Eggplant Curry, Drumstick Curry, Sweet Corn Curry, Fish Cutlets, Sinhala Achcharu","Red Rice with Eggplant Curry, Drumstick Curry, Sweet Corn Curry, Fish Cutlets, Sinhala Achcharu","Red rice, Eggplant,  Spices,  Coconut milk, Drumstick, Sweet corn,  Chillies, Fish,  Potatoes, Carrot,  onion,  green chillies,  Vinegar","200.0, 150.0, 30.0, 205.0, 200.0, 150.0, 50.0, 60.0, 100.0, 30.0, 35.0, 15.0, 10.0","SLA009, SLD019, SLK006, SLI005, , SLD041, SLD037,  SLI005 , SLK002, SLF034,  SLB006,  SLK002, SLB002, SLD060, SLI017"
Red Rice,"Spinach Curry, Leeks Curry, Kiri Hodi, Sprats Fry, Simmered Fish Roe","Red Rice with Spinach Curry, Leeks Curry, Kiri Hodi, Sprats Fry, Simmered Fish Roe","Red rice, Spinach,  Coconut milk,  Spices, Leeks,  Chillies, Coconut milk, Dried fish,  Oil, Fish,  flour,  egg","200.0, 150.0, 300.0, 150.0, 200.0, 60.0, 180.0, 80.0, 70.0, 70.0, 20.0, 10.0","SLA009, SLI022,  SLI005, SLK006, SLD055, SLK002, SLI005, SLF019, SLJ002, SLF054, SLA018, SLH001"
Red Rice,"Mustard Greens Curry, Fish Cutlets, Kiri Hodi, Chickpea Salad, Ginger Chicken","Red Rice with Mustard Greens Curry, Fish Cutlets, Kiri Hodi, Chickpea Salad, Ginger Chicken","Red rice, Mustard greens,  Coconut milk,  Chillies, Fish,  Potatoes, Coconut milk, Chickpeas,  Carrot,  Cabbage, Chicken,  Ginger","200.0, 250.0, 125.0, 100.0, 120.0, 200.0, 180.0, 120.0, 60.0, 60.0, 50.0, 25.0","SLA009, SLI025,  SLI005,  SLK002, SLF034,  SLB006, SLI005, SLI013, SLB002, SLD021, SLH006, SLK012, SLK002"
Red Rice,"Chicken Curry, Banana Blossom Curry, Mango Curry, Prawn Curry, Kochchi Sambol","Red Rice with Chicken Curry, Banana Blossom Curry, Mango Curry, Prawn Curry, Kochchi Sambol","Red rice, Chicken,  Coconut milk,  Spices, Banana blossom, Mango, Prawn,  Chillies, Green chili,  Coconut","200.0, 200.0, 215.0, 75.0, 80.0, 150.0, 100.0, 20.0, 10.0, 30.0","SLA009, SLH006, SLI005, SLK006, SLD065, SLE030, SLF043,  SLI005, SLK002"
Red Rice,"Brinjal Moju, Cuttlefish Curry, Vegetable Cutlets, Cucumber Sambol, Sprats Fry","Red Rice with Brinjal Moju, Cuttlefish Curry, Vegetable Cutlets, Cucumber Sambol, Sprats Fry","Red rice, Eggplant,  Vinegar,  Spices, Cuttlefish,  Coconut milk, Carrot,  Potatoes,  Chillies, Cucumber,  Coconut,  pepper, Dried fish,  Oil","200.0, 150.0, 200.0, 190.0, 200.0, 100.0, 90.0, 120.0, 40.0, 120.0, 60.0, 10.0, 40.0, 20.0","SLA009, SLD019,  SLI017,  SLK006, SLK007, SLI005, SLK006, SLB002,  SLB006,  SLK002, SLD038,  SLK018, SLF019, SLJ002, SLK002"
Red Rice,"Pol Sambol, Snake Gourd Curry, Lotus Root Curry, Murukku, Spicy Crab","Red Rice with Pol Sambol, Snake Gourd Curry, Lotus Root Curry, Murukku, Spicy Crab","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Snake gourd,  Coconut milk,  Spices, Lotus root,  Chillies, flour, Crab,  Oil,  chillies","200.0, 250.0, 25.0, 50.0, 15.0, 15.0, 200.0, 175.0, 40.0, 150.0, 70.0, 100.0, 70.0, 20.0, 10.0","SLA009, SLI005, SLK002, SLD060, SLE028, SLK011, SLD077, SLK006, SLB005,  SLI005, SLA08,  SLK002, SLF045, SLJ002"
